url	name	privacy	member_count
https://www.facebook.com/groups/515843159057118	Homestay tại Huế (Check phòng trống hôm nay)	Nhóm Công khai	76000
https://www.facebook.com/groups/1384618231608931/	Review Khách Sạn, Homestay giá rẻ ở Huế	Nhóm Công khai	110000
https://www.facebook.com/groups/554201948309518	Homestay Huế giá rẻ	Nhóm Công khai	29000
https://www.facebook.com/groups/199590627629924/	Homestay & Villa Huế	Nhóm Công khai	49200
https://www.facebook.com/groups/198273906964311/	Homestay- Hotel- Villa tại Huê	Nhóm Công khai	79400
https://www.facebook.com/groups/739126447538750	homestay và Villa tại Huế	Nhóm Công khai	52700
https://www.facebook.com/groups/580483772099601	HOMESTAY HUẾ GIÁ RẺ	Nhóm Công khai	170600
https://www.facebook.com/groups/825225862865913	HOMESTAY VÀ VILLA NGYÊN CĂN HUẾ GIÁ RẺ	Nhóm Công khai	14900
https://www.facebook.com/groups/1106169370422762	Homestay- villa- khách sạn Huế	Nhóm Công khai	14400
https://www.facebook.com/groups/timhomestaytaihue	Homestay tại Huế (Check phòng trống hôm nay)	Nhóm Công khai	75700
https://www.facebook.com/groups/homestayvillataihue	Khách sạn -Homestay & Villa tại Huế	Nhóm công khai	28400
https://www.facebook.com/groups/554201948309518	Homestay Huế giá rẻ	Nhóm công khai	37800
https://www.facebook.com/groups/BookingHue	Homestay Huế giá rẻ	Nhóm công khai	13800
https://www.facebook.com/groups/563789782188937	Homestay , Khách sạn giá rẻ Huế	Nhóm công khai	6000
https://www.facebook.com/groups/810669206690066	HOMESTAY HUẾ GIÁ RẺ	Nhóm công khai	29100
https://www.facebook.com/groups/1033727141993784	Nhà Nghỉ- Homestay- Khách sạn giá rẻ Huế	Nhóm công khai	23700
https://www.facebook.com/groups/643098832438831	Villa, Khách sạn, Homestay Huế	Nhóm công khai	17600
https://www.facebook.com/groups/1015514761946678	Khách sạn , Homestay Huế giá rẻ	Nhóm công khai	6100
https://www.facebook.com/groups/256475591649375	Khách sạn -Homestay & Villa tại Huế	Nhóm công khai	200100
https://www.facebook.com/groups/152836457864201	HOMESTAY GIÁ RẺ TẠI HUẾ	Nhóm công khai	6400
https://www.facebook.com/groups/huehotel	Khách sạn Huế	Nhóm công khai	15700
https://www.facebook.com/groups/5732930096830455	Homestay, Farmstay& Villa tại Huế	Nhóm công khai	1900
https://www.facebook.com/groups/936254250044660	Homestay tại Huế	Nhóm công khai	3300
https://www.facebook.com/groups/1614692018982979	Homestay Huế( Review du lịch Huế)	Nhóm công khai	6300
https://www.facebook.com/groups/518648126757873	HOMESTAY TẠI HUẾ	Nhóm công khai	8000
https://www.facebook.com/groups/garahue	Homestay Huế- Cố Đô	Nhóm công khai	52800
https://www.facebook.com/groups/1216012568811641	Review Du Lịch Huế	Nhóm công khai	11200
https://www.facebook.com/groups/1008132050647902	Review Du Lịch Huế- Khách sạn , nhà hàng, homestay,tour du lịch giá tốt	Nhóm công khai	242900
https://www.facebook.com/groups/1836906717057651	Hotel- Homestay-Hostel in Huế City	Nhóm công khai	3400
https://www.facebook.com/groups/BookingHue	Homestay Huế	Nhóm công khai	13900
https://www.facebook.com/groups/281505593487483	Homestay tại Huế	Nhóm công khai	2900
https://www.facebook.com/groups/4809227552515875	Review Du Lịch Huế - Homestay, khách sạn Huế giá rẻ	Nhóm công khai	2600
https://www.facebook.com/groups/647649370452378	Tìm Phòng Homestay Huế - Gía rẻ , view đẹp	Nhóm công khai	4700
https://www.facebook.com/groups/554201948309518	Homestay Huế giá rẻ	Nhóm công khai	37900
https://www.facebook.com/groups/26783812427900420	VILA, HOMESTAY, KHÁCH SẠN, RESORT HUẾ	Nhóm công khai	3100
